peso,ganancia,edad,sexo,active,nombreGenetica,codigoConstruccion,tipoClima,codigoZonaGeografica,animal
0.603,0.059,16,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.666,0.063,17,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.732,0.066,18,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.802,0.07,19,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.875,0.073,20,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.951,0.076,21,Mixto,0,ROSS - 2017,1,,-1,Poultry
1.03,0.079,22,Mixto,0,ROSS - 2017,1,,-1,Poultry
1.111,0.081,23,Mixto,0,ROSS - 2017,1,,-1,Poultry
1.194,0.083,24,Mixto,0,ROSS - 2017,1,,-1,Poultry
1.28,0.086,25,Mixto,0,ROSS - 2017,1,,-1,Poultry
1.368,0.088,26,Mixto,0,ROSS - 2017,1,,-1,Poultry
1.457,0.089,27,Mixto,0,ROSS - 2017,1,,-1,Poultry
1.549,0.092,28,Mixto,0,ROSS - 2017,1,,-1,Poultry
1.642,0.094,29,Mixto,0,ROSS - 2017,1,,-1,Poultry
1.737,0.095,30,Mixto,0,ROSS - 2017,1,,-1,Poultry
1.833,0.096,31,Mixto,0,ROSS - 2017,1,,-1,Poultry
1.93,0.097,32,Mixto,0,ROSS - 2017,1,,-1,Poultry
2.027,0.098,33,Mixto,0,ROSS - 2017,1,,-1,Poultry
2.126,0.098,34,Mixto,0,ROSS - 2017,1,,-1,Poultry
2.225,0.099,35,Mixto,0,ROSS - 2017,1,,-1,Poultry
2.324,0.099,36,Mixto,0,ROSS - 2017,1,,-1,Poultry
2.424,0.099,37,Mixto,0,ROSS - 2017,1,,-1,Poultry
2.523,0.1,38,Mixto,0,ROSS - 2017,1,,-1,Poultry
2.623,0.1,39,Mixto,0,ROSS - 2017,1,,-1,Poultry
2.722,0.099,40,Mixto,0,ROSS - 2017,1,,-1,Poultry
2.821,0.099,41,Mixto,0,ROSS - 2017,1,,-1,Poultry
2.92,0.099,42,Mixto,0,ROSS - 2017,1,,-1,Poultry
3.018,0.098,43,Mixto,0,ROSS - 2017,1,,-1,Poultry
3.115,0.097,44,Mixto,0,ROSS - 2017,1,,-1,Poultry
3.211,0.096,45,Mixto,0,ROSS - 2017,1,,-1,Poultry
3.307,0.095,46,Mixto,0,ROSS - 2017,1,,-1,Poultry
3.401,0.094,47,Mixto,0,ROSS - 2017,1,,-1,Poultry
3.493,0.093,48,Mixto,0,ROSS - 2017,1,,-1,Poultry
3.584,0.091,49,Mixto,0,ROSS - 2017,1,,-1,Poultry
3.674,0.09,50,Mixto,0,ROSS - 2017,1,,-1,Poultry
3.763,0.088,51,Mixto,0,ROSS - 2017,1,,-1,Poultry
3.849,0.087,52,Mixto,0,ROSS - 2017,1,,-1,Poultry
3.934,0.085,53,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.017,0.083,54,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.097,0.081,55,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.176,0.079,56,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.252,0.076,57,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.326,0.074,58,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.397,0.071,59,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.465,0.068,60,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.531,0.066,61,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.594,0.063,62,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.655,0.061,63,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.712,0.057,64,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.766,0.054,65,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.817,0.051,66,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.865,0.048,67,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.909,0.045,68,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.951,0.042,69,Mixto,0,ROSS - 2017,1,,-1,Poultry
4.99,0.039,70,Mixto,0,ROSS - 2017,1,,-1,Poultry
0.042,0.0,0,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.063,-1.0,1,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.074,-1.0,2,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.09,-1.0,3,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.109,-1.0,4,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.134,-1.0,5,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.163,-1.0,6,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.193,0.03,7,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.228,0.035,8,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.269,0.041,9,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.314,0.045,10,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.362,0.048,11,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.414,0.052,12,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.469,0.055,13,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.528,0.059,14,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.589,0.061,15,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.654,0.065,16,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.722,0.068,17,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.792,0.07,18,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.865,0.073,19,Mixto,1,COBB500 - 2018,1,,-1,Poultry
0.941,0.076,20,Mixto,1,COBB500 - 2018,1,,-1,Poultry
1.018,0.077,21,Mixto,1,COBB500 - 2018,1,,-1,Poultry
1.098,0.08,22,Mixto,1,COBB500 - 2018,1,,-1,Poultry
