"secuencial","nombreGenetica","codigoProcesoAgrosuper","edad","idSexo","sexo","codigoConstruccion","tipoClima","codigoZonaGeografica","zonaGeografica","consumoDiario","consumoAcumulado","consumoDiarioAgua","consumoAcumuladoAgua","ganancia","gananciaMedia","crecimiento","peso","conversion","conversionAcumulada","raza","anio","temperaturaDeseada","stock","kilogramosCarne","ventilacionMinima","ventiladoresFuncionando","porcentajeOperacionRequerida","porcentajeOperacionRequeridaTotal","tiempoEncendido","tiempoApagado","cicloVentilacion","active","created_at","updated_at"
744,ROSS - 2017,1,4,3,Mixto,1,,-1,Sin Información,0.023,0.074,0.046,0.17,0.021,0.027,,0.109,0.678,0.678,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:57"
745,ROSS - 2017,1,5,3,Mixto,1,,-1,Sin Información,0.026,0.099,0.052,0.222,0.024,0.026,,0.132,0.75,0.75,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:26"
746,ROSS - 2017,1,6,3,Mixto,1,,-1,Sin Información,0.029,0.129,0.058,0.28,0.027,0.026,,0.159,0.808,0.808,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:40"
747,ROSS - 2017,1,7,3,Mixto,1,,-1,Sin Información,0.033,0.162,0.066,0.346,0.03,0.027,,0.189,0.855,0.855,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:30"
748,ROSS - 2017,1,8,3,Mixto,1,,-1,Sin Información,0.037,0.199,0.074,0.42,0.033,0.028,,0.222,0.895,0.895,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:34"
749,ROSS - 2017,1,9,3,Mixto,1,,-1,Sin Información,0.042,0.241,0.084,0.504,0.036,0.029,,0.259,0.932,0.932,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:28"
750,ROSS - 2017,1,10,3,Mixto,1,,-1,Sin Información,0.047,0.288,0.094,0.598,0.039,0.03,,0.298,0.966,0.966,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:58"
751,ROSS - 2017,1,11,3,Mixto,1,,-1,Sin Información,0.052,0.34,0.104,0.702,0.043,0.031,,0.34,0.997,0.997,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:49"
752,ROSS - 2017,1,12,3,Mixto,1,,-1,Sin Información,0.057,0.397,0.114,0.816,0.046,0.032,,0.386,1.027,1.027,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:43"
753,ROSS - 2017,1,13,3,Mixto,1,,-1,Sin Información,0.062,0.459,0.124,0.94,0.049,0.033,,0.435,1.054,1.054,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:44"
